2	35	0	11	1	0	2	8	1	11	3	8	1	22	8	11	-2	20	11	11	0	35	11	11	0	35	11	11	0	35	11	11	0	35	11	11	
2	35	1	11	1	29	2	8	1	30	3	8	1	31	8	11	-2	21	11	11	0	35	11	11	0	35	11	11	0	35	11	11	0	35	11	11	
1	0	0	8	1	29	1	8	2	35	2	11	1	1	4	9	1	2	5	9	1	32	8	11	1	3	9	11	-2	23	11	11	0	35	11	11	
1	11	0	8	1	30	1	8	2	35	3	11	1	4	4	9	1	5	5	9	1	33	8	11	1	6	9	11	-2	24	11	11	0	35	11	11	
1	1	2	9	1	4	3	9	2	35	4	11	1	10	6	10	1	12	7	10	1	7	9	11	1	13	10	11	-2	25	11	11	0	35	11	11	
1	2	2	9	1	5	3	9	2	35	5	11	1	14	6	10	1	15	7	10	1	8	9	11	1	16	10	11	-2	26	11	11	0	35	11	11	
1	10	4	10	1	14	5	10	2	35	6	11	1	17	10	11	-2	27	11	11	0	35	11	11	0	35	11	11	0	35	11	11	0	35	11	11	
1	12	4	10	1	15	5	10	2	35	7	11	1	18	10	11	-2	28	11	11	0	35	11	11	0	35	11	11	0	35	11	11	0	35	11	11	
1	0	0	2	1	11	0	3	1	22	0	11	1	29	1	2	1	30	1	3	1	31	1	11	1	32	2	11	1	33	3	11	1	34	11	11	
1	1	2	4	1	2	2	5	1	3	2	11	1	4	3	4	1	5	3	5	1	6	3	11	1	7	4	11	1	8	5	11	1	9	11	11	
1	10	4	6	1	12	4	7	1	13	4	11	1	14	5	6	1	15	5	7	1	16	5	11	1	17	6	11	1	18	7	11	1	19	11	11	
